Event	ID	Name			Wwise Object Path	Notes
	1394744726	Play_Footsteps__Outdoor_			\Default Work Unit\Play_Footsteps__Outdoor_	
	3854155799	Play_Footsteps			\Default Work Unit\Play_Footsteps	

Switch Group	ID	Name			Wwise Object Path	Notes
	215506544	Footstep_Materials			\Default Work Unit\Footstep_Materials	

Switch	ID	Name	Switch Group			Notes
	841620460	Concrete	Footstep_Materials			
	3182342576	Stone_Cobble	Footstep_Materials			
	4248645337	Grass	Footstep_Materials			

State Group	ID	Name			Wwise Object Path	Notes
	1229948536	Environment			\Default Work Unit\Environment	

State	ID	Name	State Group			Notes
	144697359	Outdoor	Environment			
	340398852	Indoor	Environment			
	748895195	None	Environment			

Custom State	ID	Name	State Group	Owner		Notes
	219742620	Indoor	Environment	\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Footsteps (Outdoor)		
	713768138	Outdoor	Environment	\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Footsteps (Indoor)		

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	638234015	Grass3	C:\Wwise Projects\Light_Your_Will\.cache\Windows\SFX\Grass3_78CF892D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Footsteps (Outdoor)\Grass\Grass3		5998
	726459742	Watch Movement 2	C:\Wwise Projects\Light_Your_Will\.cache\Windows\SFX\Watch Movement 2_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Jingle-Jangle\Watch Movement 2		101006
	744884074	Concrete5	C:\Wwise Projects\Light_Your_Will\.cache\Windows\SFX\Concrete5_B35A43B7_2E91FF9C.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Footsteps (Indoor)\Concrete\Concrete5		669760
	756410391	Cloth Rustle w zip 5	C:\Wwise Projects\Light_Your_Will\.cache\Windows\SFX\Cloth Rustle w zip 5_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Clothes Rustling_w_Zip\Cloth Rustle w zip 5		99908
	787514425	Concrete6	C:\Wwise Projects\Light_Your_Will\.cache\Windows\SFX\Concrete6_E8ACD222_2E91FF9C.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Footsteps (Indoor)\Concrete\Concrete6		667712
	828370868	Cloth Rustle 7	C:\Wwise Projects\Light_Your_Will\.cache\Windows\SFX\Cloth Rustle 7_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Clothes Rustling\Cloth Rustle 7		87474
	849350279	Cloth Rustle 2	C:\Wwise Projects\Light_Your_Will\.cache\Windows\SFX\Cloth Rustle 2_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Clothes Rustling\Cloth Rustle 2		40660
	991691041	FS1_Stone	C:\Wwise Projects\Light_Your_Will\.cache\Windows\SFX\FS1_Stone_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Footsteps (Outdoor)\Stone-Cobble\FS1_Stone		43500
	1030970060	Cloth Rustle w zip 2	C:\Wwise Projects\Light_Your_Will\.cache\Windows\SFX\Cloth Rustle w zip 2_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Clothes Rustling_w_Zip\Cloth Rustle w zip 2		100274
	1061904227	Grass2	C:\Wwise Projects\Light_Your_Will\.cache\Windows\SFX\Grass2_9B11F7BD.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Footsteps (Outdoor)\Grass\Grass2		5600

